province,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
Western Cape,2020-08-14,-32.0,-14.0,-37.0,-56.0,-36.0,16.0
Western Cape,2020-08-15,-37.0,-16.0,-59.0,-60.0,-18.0,15.0
Western Cape,2020-08-16,-43.0,-23.0,-54.0,-64.0,-19.0,11.0
Western Cape,2020-08-17,-39.0,-27.0,-53.0,-59.0,-37.0,18.0
Western Cape,2020-08-18,-33.0,-16.0,-50.0,-58.0,-36.0,17.0
Western Cape,2020-08-19,-32.0,-17.0,-31.0,-58.0,-35.0,15.0
Western Cape,2020-08-20,-33.0,-15.0,-45.0,-60.0,-37.0,16.0
Western Cape,2020-08-21,-32.0,-21.0,-31.0,-56.0,-34.0,14.0
Western Cape,2020-08-22,-31.0,-20.0,-19.0,-55.0,-15.0,10.0
Western Cape,2020-08-23,-37.0,-25.0,-27.0,-62.0,-17.0,7.0
Western Cape,2020-08-24,-35.0,-25.0,-42.0,-57.0,-35.0,16.0
Western Cape,2020-08-25,-26.0,-11.0,-42.0,-56.0,-34.0,15.0
Western Cape,2020-08-26,-25.0,-11.0,-33.0,-53.0,-33.0,14.0
Western Cape,2020-08-27,-22.0,-2.0,-31.0,-52.0,-34.0,14.0
Western Cape,2020-08-28,-29.0,-13.0,-51.0,-53.0,-34.0,14.0
Western Cape,2020-08-29,-27.0,-10.0,-53.0,-54.0,-17.0,10.0
Western Cape,2020-08-30,-29.0,-13.0,-36.0,-58.0,-15.0,6.0
Western Cape,2020-08-31,-29.0,-15.0,-47.0,-54.0,-35.0,15.0
Western Cape,2020-09-01,-24.0,-9.0,-37.0,-52.0,-33.0,13.0
Western Cape,2020-09-02,-32.0,-19.0,-45.0,-54.0,-35.0,14.0
Western Cape,2020-09-03,-21.0,-3.0,-25.0,-50.0,-34.0,11.0
Western Cape,2020-09-04,-25.0,-10.0,-31.0,-49.0,-32.0,10.0
Western Cape,2020-09-05,-26.0,-11.0,-48.0,-50.0,-17.0,9.0
Western Cape,2020-09-06,-28.0,-16.0,-22.0,-54.0,-17.0,5.0
Western Cape,2020-09-07,-26.0,-15.0,-25.0,-48.0,-34.0,12.0
Western Cape,2020-09-08,-26.0,-15.0,-17.0,-48.0,-34.0,13.0
Western Cape,2020-09-09,-27.0,-16.0,-21.0,-49.0,-32.0,12.0
Western Cape,2020-09-10,-26.0,-9.0,-32.0,-49.0,-33.0,13.0
Western Cape,2020-09-11,-28.0,-15.0,-31.0,-49.0,-32.0,11.0
Western Cape,2020-09-12,-26.0,-14.0,-11.0,-46.0,-14.0,7.0
Western Cape,2020-09-13,-40.0,-23.0,-52.0,-59.0,-17.0,7.0
Western Cape,2020-09-14,-33.0,-23.0,-36.0,-51.0,-31.0,14.0
Western Cape,2020-09-15,-25.0,-14.0,-26.0,-49.0,-31.0,13.0
Western Cape,2020-09-16,-29.0,-17.0,-36.0,-50.0,-32.0,13.0
Western Cape,2020-09-17,-26.0,-12.0,-26.0,-50.0,-32.0,13.0
Western Cape,2020-09-18,-29.0,-17.0,-36.0,-50.0,-31.0,12.0
Western Cape,2020-09-19,-26.0,-15.0,-19.0,-49.0,-14.0,8.0
Western Cape,2020-09-20,-40.0,-24.0,-52.0,-60.0,-19.0,9.0
Western Cape,2020-09-21,-30.0,-21.0,-32.0,-49.0,-32.0,14.0
Western Cape,2020-09-22,-29.0,-18.0,-28.0,-48.0,-32.0,13.0
Western Cape,2020-09-23,-22.0,-7.0,-24.0,-45.0,-32.0,10.0
Western Cape,2020-09-24,-32.0,-12.0,4.0,-61.0,-70.0,20.0
Western Cape,2020-09-25,-25.0,-3.0,-46.0,-53.0,-45.0,16.0
Western Cape,2020-09-26,-22.0,-6.0,-36.0,-46.0,-17.0,9.0
Western Cape,2020-09-27,-28.0,-11.0,-38.0,-52.0,-15.0,5.0
Western Cape,2020-09-28,-27.0,-12.0,-42.0,-46.0,-31.0,13.0
Western Cape,2020-09-29,-24.0,-10.0,-40.0,-45.0,-30.0,13.0
Western Cape,2020-09-30,-20.0,-3.0,-40.0,-42.0,-30.0,11.0
Western Cape,2020-10-01,-23.0,0.0,-55.0,-43.0,-30.0,12.0
Western Cape,2020-10-02,-23.0,-1.0,-54.0,-42.0,-28.0,10.0
Western Cape,2020-10-03,-19.0,-4.0,-36.0,-38.0,-12.0,5.0
Western Cape,2020-10-04,-24.0,-8.0,-21.0,-45.0,-13.0,3.0
Western Cape,2020-10-05,-26.0,-10.0,-41.0,-41.0,-29.0,10.0
Western Cape,2020-10-06,-25.0,-9.0,-38.0,-41.0,-29.0,10.0
Western Cape,2020-10-07,-23.0,-7.0,-36.0,-43.0,-28.0,10.0
Western Cape,2020-10-08,-24.0,-5.0,-37.0,-43.0,-28.0,11.0
Western Cape,2020-10-09,-26.0,-8.0,-51.0,-45.0,-27.0,11.0
Western Cape,2020-10-10,-24.0,-10.0,-38.0,-44.0,-11.0,8.0
Western Cape,2020-10-11,-29.0,-14.0,-28.0,-52.0,-12.0,6.0
Western Cape,2020-10-12,-29.0,-16.0,-34.0,-43.0,-28.0,12.0
Western Cape,2020-10-13,-29.0,-16.0,-40.0,-45.0,-28.0,13.0
Western Cape,2020-10-14,-26.0,-13.0,-30.0,-42.0,-27.0,12.0
Western Cape,2020-10-15,-24.0,-5.0,-42.0,-42.0,-28.0,12.0
Western Cape,2020-10-16,-23.0,-3.0,-34.0,-42.0,-26.0,10.0
Western Cape,2020-10-17,-26.0,-11.0,-32.0,-43.0,-12.0,8.0
Western Cape,2020-10-18,-33.0,-15.0,-37.0,-52.0,-14.0,6.0
Western Cape,2020-10-19,-32.0,-18.0,-44.0,-45.0,-27.0,13.0
Western Cape,2020-10-20,-30.0,-16.0,-42.0,-45.0,-28.0,13.0
Western Cape,2020-10-21,-27.0,-14.0,-33.0,-45.0,-27.0,12.0
Western Cape,2020-10-22,-25.0,-9.0,-35.0,-43.0,-27.0,12.0
Western Cape,2020-10-23,-19.0,0.0,-34.0,-42.0,-26.0,9.0
Western Cape,2020-10-24,-18.0,-3.0,-27.0,-42.0,-9.0,6.0
Western Cape,2020-10-25,-25.0,-7.0,-36.0,-50.0,-11.0,5.0
Western Cape,2020-10-26,-22.0,-9.0,-28.0,-43.0,-32.0,12.0
Western Cape,2020-10-27,-18.0,-3.0,-30.0,-43.0,-32.0,12.0
Western Cape,2020-10-28,-18.0,-4.0,-30.0,-41.0,-31.0,12.0
Western Cape,2020-10-29,-18.0,0.0,-41.0,-41.0,-33.0,13.0
Western Cape,2020-10-30,-14.0,6.0,-34.0,-40.0,-31.0,9.0
Western Cape,2020-10-31,-15.0,0.0,-28.0,-36.0,-8.0,5.0
Western Cape,2020-11-01,-19.0,0.0,-26.0,-43.0,-8.0,3.0
Western Cape,2020-11-02,-23.0,-7.0,-32.0,-38.0,-25.0,11.0
Western Cape,2020-11-03,-21.0,-5.0,-36.0,-39.0,-25.0,11.0
Western Cape,2020-11-04,-21.0,-5.0,-36.0,-39.0,-24.0,11.0
Western Cape,2020-11-05,-22.0,-2.0,-43.0,-39.0,-25.0,12.0
Western Cape,2020-11-06,-26.0,-6.0,-55.0,-42.0,-25.0,11.0
Western Cape,2020-11-07,-24.0,-9.0,-51.0,-43.0,-9.0,9.0
Western Cape,2020-11-08,-35.0,-16.0,-60.0,-53.0,-13.0,8.0
Western Cape,2020-11-09,-28.0,-14.0,-41.0,-42.0,-25.0,12.0
Western Cape,2020-11-10,-26.0,-13.0,-40.0,-43.0,-26.0,12.0
Western Cape,2020-11-11,-24.0,-11.0,-31.0,-41.0,-25.0,11.0
Western Cape,2020-11-12,-23.0,-7.0,-25.0,-38.0,-26.0,11.0
Western Cape,2020-11-13,-21.0,-3.0,-38.0,-40.0,-24.0,9.0
Western Cape,2020-11-14,-23.0,-7.0,-41.0,-40.0,-8.0,8.0
Western Cape,2020-11-15,-28.0,-10.0,-40.0,-48.0,-10.0,6.0
Western Cape,2020-11-16,-28.0,-15.0,-42.0,-40.0,-25.0,12.0
Western Cape,2020-11-17,-27.0,-14.0,-41.0,-42.0,-25.0,12.0
Western Cape,2020-11-18,-26.0,-13.0,-42.0,-41.0,-25.0,12.0
Western Cape,2020-11-19,-24.0,-9.0,-45.0,-40.0,-26.0,12.0
Western Cape,2020-11-20,-22.0,-6.0,-40.0,-39.0,-24.0,9.0
Western Cape,2020-11-21,-24.0,-8.0,-38.0,-38.0,-8.0,8.0
Western Cape,2020-11-22,-30.0,-13.0,-48.0,-50.0,-11.0,6.0
Western Cape,2020-11-23,-29.0,-17.0,-48.0,-42.0,-25.0,12.0
Western Cape,2020-11-24,-28.0,-14.0,-53.0,-44.0,-25.0,13.0
Western Cape,2020-11-25,-13.0,5.0,-40.0,-39.0,-23.0,9.0
Western Cape,2020-11-26,-11.0,13.0,-45.0,-36.0,-24.0,10.0
Western Cape,2020-11-27,-8.0,12.0,-44.0,-35.0,-22.0,6.0
Western Cape,2020-11-28,-10.0,8.0,-41.0,-31.0,-3.0,5.0
Western Cape,2020-11-29,-13.0,6.0,-42.0,-42.0,-4.0,3.0
Western Cape,2020-11-30,-15.0,-1.0,-44.0,-35.0,-23.0,10.0
Western Cape,2020-12-01,-13.0,5.0,-45.0,-33.0,-23.0,10.0
Western Cape,2020-12-02,-11.0,7.0,-39.0,-34.0,-22.0,10.0
Western Cape,2020-12-03,-10.0,13.0,-41.0,-31.0,-23.0,10.0
Western Cape,2020-12-04,-13.0,5.0,-45.0,-32.0,-22.0,8.0
Western Cape,2020-12-05,-12.0,4.0,-35.0,-27.0,-3.0,5.0
Western Cape,2020-12-06,-18.0,-1.0,-39.0,-39.0,-6.0,4.0
Western Cape,2020-12-07,-19.0,-7.0,-43.0,-36.0,-26.0,11.0
Western Cape,2020-12-08,-19.0,-6.0,-41.0,-36.0,-25.0,12.0
Western Cape,2020-12-09,-17.0,-6.0,-32.0,-34.0,-25.0,11.0
Western Cape,2020-12-10,-16.0,0.0,-29.0,-31.0,-27.0,12.0
Western Cape,2020-12-11,-18.0,-3.0,-41.0,-31.0,-25.0,11.0
Western Cape,2020-12-12,-16.0,0.0,-30.0,-26.0,-4.0,7.0
Western Cape,2020-12-13,-19.0,-2.0,-22.0,-35.0,-5.0,5.0
Western Cape,2020-12-14,-15.0,-4.0,-29.0,-34.0,-30.0,13.0
Western Cape,2020-12-15,-3.0,10.0,-21.0,-29.0,-30.0,11.0
Western Cape,2020-12-16,-12.0,1.0,-2.0,-47.0,-67.0,21.0
Western Cape,2020-12-17,-7.0,15.0,-24.0,-33.0,-39.0,14.0
Western Cape,2020-12-18,-11.0,6.0,-25.0,-31.0,-39.0,14.0
Western Cape,2020-12-19,-12.0,6.0,-21.0,-22.0,-8.0,8.0
Western Cape,2020-12-20,-11.0,7.0,-22.0,-30.0,-5.0,5.0
Western Cape,2020-12-21,1.0,16.0,-11.0,-35.0,-47.0,15.0
